Instruction,Response
Vad innebär 'Sandlådespel (Sandbox)' inom gaming?,"'Sandlådespel (Sandbox)' betyder oftast Spel där du får verktyg och får göra precis vad du vill utan något tydligt slutmål, som att bygga slott i Minecraft."
Vad innebär 'RPG (Rollspel)' inom gaming?,"'RPG (Rollspel)' betyder oftast Spel där du antar en roll, ofta får välja hur karaktären ser ut, och bygger upp erfarenhetspoäng (XP) och nya förmågor längs vägen."
Vad innebär 'MMORPG' inom gaming?,'MMORPG' betyder oftast Ett 'Massively Multiplayer Online RPG' som World of Warcraft. Du spelar i en enorm fantasy-värld online tillsammans med tusentals andra spelare samtidigt.
Vad innebär 'FPS (First Person Shooter)' inom gaming?,"'FPS (First Person Shooter)' betyder oftast Skjutspel där du ser ut genom karaktärens ögon (bara ser vapnet framför dig). Exempel: Call of Duty, CS, Doom."
Vad innebär 'MOBA' inom gaming?,'MOBA' betyder oftast Multiplayer Online Battle Arena. Ett 5v5-spel sett snett ovanifrån där lagen försöker förstöra varandras bas (som League of Legends eller Dota 2).
Vad innebär 'Battle Royale' inom gaming?,"'Battle Royale' betyder oftast När 100 spelare hoppar ur ett plan/buss, slåss för överlevnad, och gaszonen blir mindre och mindre tills bara ett lag lever (Fortnite, Warzone)."
Vad innebär 'Rogue-like' inom gaming?,'Rogue-like' betyder oftast En genre där banorna är slumpgenererade. Dör du måste du oftast börja om heeeeelt från början igen. Fruktansvärt svårt men belönande!
Vad innebär 'Souls-like' inom gaming?,'Souls-like' betyder oftast Skitsvåra spel inspirerade av Dark Souls eller Elden Ring. Kräver perfekt precision och timing för att inte bli krossad av massiva bossar.
Vad innebär 'Spelmotor (Game Engine)' inom gaming?,"'Spelmotor (Game Engine)' betyder oftast Själva basprogrammet man bygger spel i. Innehåller färdiga regler för fysik, tyngdkraft och grafik så att man slipper koda allt från noll."
Vad innebär 'Unreal Engine 5' inom gaming?,'Unreal Engine 5' betyder oftast En av världens mest kända spelmotorer (skapad av Epic Games). Den ger nästan fotorealistisk grafik helt gratis och används även för specialeffekter i filmer (som The Mandalorian).
"Polarna pratar hela tiden om 'TTK', vad betyder det?",Inom spel betyder TTK Time to Kill. Ett mått på exakt hur snabbt ett vapen eller en förmåga eliminerar en motståndare i spelet. Låg TTK betyder att du dör supersnabbt!
"Polarna pratar hela tiden om 'DPS', vad betyder det?",Inom spel betyder DPS Damage Per Second. Hur mycket skada ett vapen eller en karaktär i genomsnitt gör per sekund. Viktigt i MMOs!
"Polarna pratar hela tiden om 'AoE', vad betyder det?",Inom spel betyder AoE Area of Effect. En attack eller magi som gör skada på en viss yta istället för på en enskild fiende (t.ex. en granat eller eldstorm).
"Polarna pratar hela tiden om 'RNG', vad betyder det?",Inom spel betyder RNG Random Number Generation. Spelvärldens sätt att säga 'slump'. Om du hittar ett legendariskt vapen i en låda hade du bra RNG.
"Polarna pratar hela tiden om 'NPC', vad betyder det?",Inom spel betyder NPC Non-Playable Character. Alla gubbar och karaktärer i ett spel som styrs av datorn och inte av riktiga spelare.
"Polarna pratar hela tiden om 'PvP', vad betyder det?",Inom spel betyder PvP Player versus Player. När spelare möter och slåss mot andra riktiga spelare online.
"Polarna pratar hela tiden om 'PvE', vad betyder det?",Inom spel betyder PvE Player versus Environment. När spelare samarbetar för att besegra datorstyrda fiender eller monster.
"Polarna pratar hela tiden om 'SBMM', vad betyder det?",Inom spel betyder SBMM Skill-Based Matchmaking. Ett system som försöker para ihop dig med spelare som har exakt samma skicklighetsnivå som du.
"Polarna pratar hela tiden om 'MMR', vad betyder det?",Inom spel betyder MMR Matchmaking Rating. Ett dolt siffervärde som spelet använder för att bedöma hur bra du är och hitta lämpliga motståndare.
"Polarna pratar hela tiden om 'ELO', vad betyder det?",Inom spel betyder ELO Ett system lånat från schack för att ranka spelare i tävlingsinriktade spel som League of Legends eller CS.
"Polarna pratar hela tiden om 'Hitbox', vad betyder det?",Inom spel betyder Hitbox De osynliga geometriska block runt en karaktär som spelet använder för att beräkna om ditt skott träffar eller inte.
"Polarna pratar hela tiden om 'FOV', vad betyder det?",Inom spel betyder FOV Field of View (synfält). Ett värde (t.ex. 90 eller 110) som bestämmer hur mycket av spelvärlden du kan se på din skärm samtidigt. Högre FOV ger bättre periferiseende men drar mer prestanda.
"Polarna pratar hela tiden om 'HUD', vad betyder det?","Inom spel betyder HUD Heads-Up Display. Den information (som liv, ammo och karta) som ligger 'ovanpå' spelbilden så att du kan läsa av den snabbt."
"Polarna pratar hela tiden om 'UI', vad betyder det?","Inom spel betyder UI User Interface. Spelmenyerna, knapparna och designen för hur du interagerar med spelet."
"Polarna pratar hela tiden om 'K/D', vad betyder det?",Inom spel betyder K/D Kill/Death ratio. Antal kills du fått delat på hur många gånger du dött. En K/D över 1.0 betyder att du dödar mer än du dör.
"Polarna pratar hela tiden om 'Smurf', vad betyder det?","Inom spel betyder Smurf En högrankad och extremt duktig spelare som gör ett nytt, lågrankat konto för att spela mot (och dominera) nybörjare."
"Polarna pratar hela tiden om 'Buff', vad betyder det?",Inom spel betyder Buff När spelutvecklarna uppdaterar spelet för att göra en karaktär eller ett vapen starkare.
"Polarna pratar hela tiden om 'Nerf', vad betyder det?",Inom spel betyder Nerf När spelutvecklarna försämrar ett vapen eller en karaktär eftersom det var alldeles för starkt innan.
"Polarna pratar hela tiden om 'Meta', vad betyder det?","Inom spel betyder Meta Most Effective Tactic Available. Den spelstil, det vapen eller den karaktär som anses vara absolut starkast och bäst att använda just nu."
"Polarna pratar hela tiden om 'OP', vad betyder det?",Inom spel betyder OP Overpowered. Något som är alldeles för starkt och orättvist i spelet.
"Polarna pratar hela tiden om 'Ping', vad betyder det?",Inom spel betyder Ping Den tid (i millisekunder) det tar för en datasignal att skickas från din dator till spelservern och tillbaka. Du vill ha så låg ping som möjligt!
"Polarna pratar hela tiden om 'Lag', vad betyder det?","Inom spel betyder Lag När din internetuppkoppling är seg (hög ping) eller din dator inte orkar med, vilket gör att spelet hackar eller 'hoppar' fram."
"Polarna pratar hela tiden om 'Packet Loss', vad betyder det?",Inom spel betyder Packet Loss När data som skickas mellan din dator och servern försvinner på vägen. Resultatet är ofta att dina skott inte registreras alls.
"Polarna pratar hela tiden om 'Tickrate', vad betyder det?",Inom spel betyder Tickrate Hur många gånger per sekund spelservern uppdaterar var alla spelare befinner sig. 128-tick (som Faceit i CS) är mjukare och mer exakt än 64-tick.
"Polarna pratar hela tiden om 'V-Sync', vad betyder det?",Inom spel betyder V-Sync En inställning som tvingar grafikkortet att vänta på skärmens uppdatering för att förhindra att bilden 'slits isär' (tearing). Kan dock ge lite input lag.
"Polarna pratar hela tiden om 'Ray Tracing', vad betyder det?",Inom spel betyder Ray Tracing En ljusteknik som simulerar hur fysiska ljusstrålar studsar och skapar realistiska reflektioner och mjuka skuggor.
"Polarna pratar hela tiden om 'DLSS', vad betyder det?",Inom spel betyder DLSS Nvidias AI-teknik (Deep Learning Super Sampling) som ritar spelet i låg upplösning och AI-förstorar det. Du får supergrafik OCH hög FPS!
"Polarna pratar hela tiden om 'Anti-aliasing', vad betyder det?","Inom spel betyder Anti-aliasing Kantutjämning. En grafikinställning som tar bort de vassa, pixliga och hackiga kanterna på objekt i spel."
"Polarna pratar hela tiden om 'Screen Tearing', vad betyder det?","Inom spel betyder Screen Tearing När skärmen uppdaterar sig mitt i att grafikkortet skickar en ny bild, vilket gör att skärmen bokstavligen ser 'kluven' eller 'sliten' ut horisontellt."
"Polarna pratar hela tiden om 'Polling rate', vad betyder det?",Inom spel betyder Polling rate Hur många gånger per sekund din mus eller ditt tangentbord rapporterar sin position till datorn. 1000 Hz betyder en uppdatering varje millisekund.
"Polarna pratar hela tiden om 'DPI', vad betyder det?","Inom spel betyder DPI Dots Per Inch. Hur känslig din datormus är. Om du drar musen 1 tum på musmattan vid 800 DPI, flyttas pekaren 800 pixlar på skärmen."
"Polarna pratar hela tiden om 'Mekaniskt tangentbord', vad betyder det?","Inom spel betyder Mekaniskt tangentbord Ett tangentbord där varje knapp har en egen fjädrande, fysisk brytare för skönare känsla och blixtsnabb respons."
"Polarna pratar hela tiden om 'Membrantangentbord', vad betyder det?","Inom spel betyder Membrantangentbord Ett tangentbord med en gummimatta under knapparna. Det är tystare och billigare, men saknar den krispiga känslan för gaming."
"Polarna pratar hela tiden om 'Bottleneck (flaskhals)', vad betyder det?",Inom spel betyder Bottleneck (flaskhals) När en riktigt bra del i datorn hindras från att jobba snabbt på grund av en urusel gammal del (t.ex. ett RTX 4080 ihop med en 10 år gammal CPU).
"Polarna pratar hela tiden om 'SSD', vad betyder det?",Inom spel betyder SSD Solid State Drive. Blixtsnabb lagring utan rörliga delar. Här ska du alltid installera ditt Windows och dina favoritspel för nolltid-laddningsskärmar.
"Polarna pratar hela tiden om 'HDD', vad betyder det?","Inom spel betyder HDD Hard Disk Drive. Gamla mekaniska hårddiskar med snurrande magnetskivor. Billiga och har mycket plats, men alldeles för sega för moderna spel."
"Polarna pratar hela tiden om 'CPU', vad betyder det?","Inom spel betyder CPU Central Processing Unit. Datorns 'hjärna' som räknar ut spelets fysik, NPC:ernas beteende och säger till grafikkortet vad det ska rita."
"Polarna pratar hela tiden om 'GPU', vad betyder det?",Inom spel betyder GPU Graphics Processing Unit (Grafikkort). Datorns muskel som sköter all visuell rendering och pressar ut FPS till din skärm.
"Polarna pratar hela tiden om 'RAM', vad betyder det?",Inom spel betyder RAM Random Access Memory. Datorns korttidsminne. Allt som händer *just nu* i spelet laddas här för blixtsnabb åtkomst. 16GB är standard idag!
"Polarna pratar hela tiden om 'Moderkort', vad betyder det?","Inom spel betyder Moderkort Den stora centrala plattan i datorn (Motherboard) där alla andra delar (CPU, RAM, GPU) kopplas in så de kan prata med varandra."
"Polarna pratar hela tiden om 'Nätagg (PSU)', vad betyder det?","Inom spel betyder Nätagg (PSU) Power Supply Unit. Lådan som ger ström till hela datorn. Snåla aldrig på denna, går den sönder kan den grilla hela datorn!"
"Polarna pratar hela tiden om 'Kylpasta', vad betyder det?",Inom spel betyder Kylpasta Den kletiga lilla smörjan du måste lägga mellan processorn (CPU) och kylaren för att värmen ska kunna överföras och kylas ner effektivt.
"Polarna pratar hela tiden om 'Vattenkylning', vad betyder det?",Inom spel betyder Vattenkylning AIO (All-in-one) eller custom loops som använder vätska för att kyla ner processorn. Ser sjukt snyggt ut och kyler ofta extremt bra!
"Polarna pratar hela tiden om 'Luftkylning', vad betyder det?","Inom spel betyder Luftkylning Ett stort metalltorn med fläktar som blåser bort värmen från CPU:n. Ofta billigare, säkrare (kan inte läcka vatten) och kyler i toppklass."
"Polarna pratar hela tiden om '144Hz', vad betyder det?",Inom spel betyder 144Hz Betyder att skärmen kan rita upp 144 bilder per sekund. Det gör rörelser mycket mjukare än standarden som är 60Hz.
"Polarna pratar hela tiden om '240Hz', vad betyder det?",Inom spel betyder 240Hz Gör att skärmen kan visa 240 bilder per sekund. Detta är E-sportstandard och gör det lättare att följa fiender i snabba rörelser (flickshots).
"Polarna pratar hela tiden om '4K-upplösning', vad betyder det?","Inom spel betyder 4K-upplösning Det är 3840 x 2160 pixlar på skärmen! Bilden blir helt galet skarp, men det kräver ett gigantiskt grafikkort för att orka driva spelen i bra FPS."
"Polarna pratar hela tiden om '1440p', vad betyder det?",Inom spel betyder 1440p Detta kallas också 2K eller QHD. Den perfekta mittpunkten mellan snygg grafik och hög FPS. Den gyllene standarden för gaming just nu.
"Polarna pratar hela tiden om '1080p', vad betyder det?","Inom spel betyder 1080p Detta är Full HD. Det är fortfarande den vanligaste upplösningen i världen, framförallt inom professionell e-sport där man vill ha maximal fps."
"Polarna pratar hela tiden om 'Ultrawide', vad betyder det?","Inom spel betyder Ultrawide En extremt bred skärm (ofta bildförhållandet 21:9) som ger dig fantastisk inlevelse i bil- och storyspel, men kan vara för bred för E-sport."
